,Name,Age,Nationality,Overall,Potential,Height,Weak.Foot
7949,S. Leuko,24,Cameroon,67,72,152.4,4
7950,D. Goutas,24,Greece,67,72,182.88,3
7951,Wilsson Rosito,34,Brazil,67,67,152.4,5
7952,D. Rigo,19,Belgium,67,80,152.4,4
7953,A. Bastoni,19,Italy,67,87,182.88,3
7954,S. Eastwood,29,England,67,69,182.88,3
7955,T. Boyd,27,United States,67,67,182.88,3
7956,F. Nájera,34,Colombia,67,67,182.88,3
7957,Jairo,24,Spain,67,70,152.4,2
7958,D. Milinković,24,France,67,73,152.4,4
7959,F. Ayé,21,France,67,74,182.88,3
7960,J. Vachoux,23,France,67,75,182.88,2
7961,N. Bajrami,19,Switzerland,67,82,152.4,3
7962,P. Mandanda,28,DR Congo,67,68,182.88,2
7963,M. Đurić,28,Bosnia Herzegovina,67,67,182.88,3
7964,Éverton Luiz,30,Brazil,67,67,152.4,3
7965,Puertas,26,Spain,67,68,182.88,3
7966,J. Duverne,20,France,67,77,182.88,3
7967,G. Dicker,31,Republic of Ireland,67,67,182.88,3
7968,G. Massey,25,England,67,68,152.4,3
7969,N. Stefanelli,24,Argentina,67,74,152.4,4
7970,J. Andrada,23,Argentina,67,75,182.88,3
7971,R. Zhemaletdinov,21,Russia,67,77,182.88,3
7972,L. Sercombe,28,England,67,67,152.4,3
7973,D. De Belder,26,Belgium,67,69,182.88,3
7974,J. Kubicki,22,Poland,67,73,152.4,2
7975,J. Rasmussen,21,Denmark,67,78,182.88,3
7976,Y. Ramadani,22,Albania,67,74,182.88,3
7977,E. Akichi,28,Ivory Coast,67,68,152.4,3
7978,C. Chiricò,26,Italy,67,67,152.4,2
7979,H. Sacko,24,Mali,67,71,182.88,3
7980,Chris Farminhão,34,Brazil,67,67,182.88,3
7981,D. Keita-Ruel,28,Germany,67,67,182.88,4
7982,P. Zulu,25,South Africa,67,68,152.4,3
7983,H. Bahebri,25,Saudi Arabia,67,68,152.4,4
7984,C. Arias,30,Colombia,67,67,152.4,4
7985,Jeong Woo Jae,26,Korea Republic,67,68,152.4,3
7986,W. Dammers,23,Netherlands,67,70,182.88,4
7987,K. Kotsaris,21,Greece,67,77,182.88,3
7988,M. Poletanović,24,Serbia,67,73,182.88,3
7989,J. Hopcutt,26,England,67,70,152.4,3
7990,P. Małecki,29,Poland,67,67,152.4,4
7991,B. Mitrev,31,Bulgaria,67,67,182.88,3
7992,Qin Sheng,31,China PR,67,67,182.88,4
7993,Marco Soares,34,Cape Verde,67,67,182.88,3
7994,Romário,32,Brazil,67,67,152.4,3
7995,Pedro Trigueira,30,Portugal,67,68,182.88,3
7996,A. Hrustić,21,Australia,67,75,152.4,3
7997,U. Segura,25,Costa Rica,67,70,182.88,3
7998,J. Billong,24,France,67,71,182.88,3
7999,L. Arias,33,Colombia,67,67,152.4,2
8000,K. Arkivuo,35,Finland,67,67,152.4,4
8001,S. Palombi,22,Italy,67,76,182.88,3
8002,G. Maggiore,20,Italy,67,83,182.88,3
8003,M. Konrad,30,Germany,67,67,182.88,4
8004,Zheng Long,30,China PR,67,67,152.4,3
8005,A. Lazaar,26,Morocco,67,68,182.88,3
8006,J. Donachie,25,Australia,67,69,182.88,3
8007,J. Bizama,24,Chile,67,74,152.4,3
8008,A. Rossi,21,Italy,67,77,182.88,2
8009,Nolaskoain,19,Spain,67,78,182.88,3
8010,H. Singh,27,Norway,67,67,152.4,3
8011,João Carlos,23,Brazil,67,71,182.88,4
8012,J. Nation,28,Norway,67,68,182.88,3
8013,S. Kulovits,35,Austria,67,67,152.4,3
8014,T. Grøgaard,24,Norway,67,74,152.4,2
8015,R. Williams,24,Australia,67,70,152.4,3
8016,F. Miguel,21,France,67,76,152.4,3
8017,M. Bukata,24,Slovakia,67,70,152.4,4
8018,K. Broll,22,Germany,67,74,182.88,2
8019,M. Jiménez,28,Mexico,67,69,182.88,3
8020,K. Nagai,29,Japan,67,67,152.4,4
8021,C. Philipps,24,Luxembourg,67,73,182.88,3
8022,M. Sadler,33,England,67,67,182.88,3
8023,F. Centonze,22,France,67,75,182.88,3
8024,J. Ligali,27,France,67,71,182.88,3
8025,A. Sánchez,31,Argentina,67,67,182.88,2
8026,A. Nalini,28,Italy,67,67,152.4,3
8027,Zheng Zheng,28,China PR,67,67,182.88,2
8028,Héctor Rodas,30,Spain,67,67,182.88,3
8029,D. Høegh,27,Denmark,67,68,182.88,2
8030,C. Martschinko,24,Austria,67,72,152.4,3
8031,F. Micolta,28,Colombia,67,67,152.4,2
8032,J. Piotrowski,20,Poland,67,77,182.88,4
8033,M. Carretta,27,Italy,67,67,152.4,3
8034,J. Skalák,26,Czech Republic,67,68,152.4,3
8035,L. Lindsay,22,Scotland,67,77,182.88,3
8036,V. Hoff,22,Norway,67,75,152.4,3
8037,M. Zaccagni,23,Italy,67,75,152.4,2
8038,R. Vera,35,Argentina,67,67,182.88,3
8039,J. Riedel,26,Germany,67,69,182.88,5
8040,T. Yalçıner,31,Turkey,67,67,152.4,3
8041,B. De Alba,25,Colombia,67,72,152.4,2
8042,A. Nouri,28,Norway,67,67,152.4,4
8043,C. Gartner,24,Austria,67,71,152.4,3
8044,T. Geyer,27,Germany,67,67,152.4,3
8045,L. Domínguez,28,Chile,67,68,182.88,2
8046,Naldo,28,Brazil,67,67,182.88,2
8047,L. Kelly,19,England,67,83,182.88,3
8048,S. Whalley,30,England,67,67,152.4,3
8049,K. Anzai,23,Japan,67,74,152.4,4
8050,C. Pontius,30,United States,67,67,182.88,4
8051,E. Zavaleta,25,United States,67,69,182.88,2
8052,G. O'Neil,35,England,67,67,152.4,3
8053,G. Loovens,34,Netherlands,67,67,182.88,5
8054,A. González,30,Uruguay,67,67,182.88,3
8055,Luís Cortez,24,Portugal,67,70,152.4,2
8056,M. Hernández,35,Mexico,67,67,182.88,3
8057,C. Donaldson,34,Jamaica,67,67,182.88,3
8058,D. Mendiseca,22,Paraguay,67,67,182.88,3
8059,S. Cronin,31,United States,67,67,152.4,3
8060,J. Taylor,25,England,67,68,152.4,3
8061,R. Hall,24,England,67,70,152.4,4
8062,S. Gbohouo,29,Ivory Coast,67,68,182.88,2
8063,N. Yeri,26,Argentina,67,68,152.4,3
8064,M. Pinato,23,Italy,67,75,152.4,3
8065,M. Johnson,27,England,67,67,152.4,3
8066,D. Wouters,21,Belgium,67,76,182.88,2
8067,J. Campuzano,22,Colombia,67,80,152.4,3
8068,Z. Valentin,26,United States,67,68,182.88,3
8069,L. Néry,27,France,67,68,152.4,3
8070,J. Iglesias,29,Uruguay,67,67,152.4,3
8071,M. El Hamdaoui,33,Morocco,67,67,182.88,3
8072,Welson Leima,34,Brazil,67,67,152.4,3
8073,M. Little,29,England,67,67,182.88,3
8074,B. Lennon,20,United States,67,78,152.4,3
8075,N. Mitrović,25,Slovenia,67,72,182.88,3
8076,Serginho,35,Portugal,67,67,182.88,3
8077,R. Buess,25,Switzerland,67,70,182.88,4
8078,A. Al Sahabi,31,Saudi Arabia,67,67,152.4,3
8079,Y. El Jebli,25,Netherlands,67,69,152.4,3
8080,C. Durkin,18,United States,67,84,182.88,3
8081,P. Bengtsson,30,Sweden,67,67,152.4,2
8082,F. Kamberi,23,Switzerland,67,76,182.88,3
8083,D. Irandust,20,Sweden,67,77,182.88,3
8084,L. Nomenjanahary,32,Madagascar,67,67,152.4,2
8085,D. Steres,27,United States,67,68,182.88,3
8086,G. Donyoh,23,Ghana,67,73,152.4,3
8087,Castro,23,Spain,67,73,152.4,3
8088,F. Troyansky,21,Argentina,67,80,152.4,3
8089,D. Koppers,26,Netherlands,67,68,152.4,2
8090,M. Moscati,25,Italy,67,70,152.4,3
8091,J. Roa,23,Colombia,67,75,152.4,3
8092,Lu Wenjun,29,China PR,67,67,182.88,3
8093,F. Crivelli,36,Argentina,67,67,182.88,2
8094,J. Amoroso,30,Argentina,67,67,182.88,3
8095,A. Barillà,30,Italy,67,67,152.4,3
8096,K. Agard,28,England,67,67,152.4,3
8097,Y. Boli,30,Ivory Coast,67,67,152.4,3
8098,Borja Viguera,31,Spain,67,67,182.88,3
8099,A. Masika,25,Kenya,67,68,152.4,3
8100,S. Kroon,25,Sweden,67,70,182.88,3
8101,A. Al Hafith,25,Saudi Arabia,67,72,182.88,3
8102,J. Gradit,25,France,67,70,152.4,3
8103,L. Boeder,21,Germany,67,74,182.88,3
8104,T. Pochettino,22,Argentina,67,75,152.4,3
8105,A. Robic,32,France,67,67,152.4,3
8106,E. Nazaryna,20,Ukraine,67,76,182.88,3
8107,J. Cascante,24,Costa Rica,67,72,182.88,2
8108,A. Ibrahim,27,Norway,67,68,182.88,3
8109,F. Ulvestad,26,Norway,67,70,182.88,3
8110,C. Çavlan,26,Netherlands,67,69,152.4,4
8111,F. Ben Youssef,27,Tunisia,67,67,182.88,3
8112,M. Pučko,24,Slovenia,67,71,152.4,4
8113,C. Gönen,30,Turkey,67,67,182.88,1
8114,S. Moore,28,England,67,67,182.88,3
8115,L. Taylor,28,Montserrat,67,67,182.88,3
8116,M. de Leeuw,31,Netherlands,67,67,152.4,3
8117,A. Ngamukol,30,DR Congo,67,67,152.4,4
8118,F. Brandán,28,Argentina,67,67,152.4,3
8119,Zubiaurre,21,Spain,67,75,182.88,3
8120,S. Quinn,32,Republic of Ireland,67,67,152.4,2
8121,S. Bertram,27,Germany,67,67,182.88,4
8122,Z. Korcsmár,29,Hungary,67,67,182.88,3
8123,Camacho,37,Spain,67,67,152.4,2
8124,D. Sorgić,28,Serbia,67,67,152.4,3
8125,P. Mortensen,28,Denmark,67,67,182.88,3
8126,Tekio,27,Spain,67,67,152.4,3
8127,P. Ofosu-Ayeh,26,Ghana,67,68,152.4,3
8128,M. Bíttolo,28,Argentina,67,67,152.4,2
8129,B. Djiby Fall,33,Senegal,67,67,182.88,3
8130,D. Cardoso,29,South Africa,67,67,182.88,3
8131,J. Demetriou,30,Cyprus,67,67,152.4,3
8132,Ilhamjan Iminjan,32,China PR,67,67,152.4,3
8133,M. Ritzmaier,25,Austria,67,70,152.4,3
8134,C. Dell'Orco,24,Italy,67,73,182.88,3
8135,H. Shala,26,Norway,67,70,152.4,3
8136,R. Williams,26,South Africa,67,72,182.88,3
8137,S. Molina,26,Italy,67,68,152.4,3
8138,J. Ángulo,22,Colombia,67,77,182.88,3
8139,F. Guichón,27,Uruguay,67,67,182.88,3
8140,G. Tormin,20,France,67,78,152.4,4
8141,R. Noya,28,Argentina,67,67,182.88,3
8142,L. Clemenza,20,Italy,67,76,152.4,4
8143,Paik Seung Ho,21,Korea Republic,67,77,152.4,5
8144,L. Wolsztyński,23,Poland,67,73,182.88,4
8145,P. Göbel,24,Germany,67,69,152.4,3
8146,A. Gouiri,18,France,67,86,182.88,3
8147,S. Bruzzese,29,Belgium,67,68,182.88,4
8148,M. Njie,22,Norway,67,75,182.88,3
8149,S. Raggett,24,England,67,73,182.88,4
8150,P. Klewin,24,Germany,67,73,182.88,2
8151,G. Ţucudean,27,Romania,67,68,182.88,3
8152,J. Ward,32,Northern Ireland,67,67,152.4,4
8153,S. Jovanović,26,Serbia,67,68,152.4,5
8154,N. Schouterden,29,Belgium,67,67,152.4,3
8155,S. Wannenwetsch,26,Germany,67,69,152.4,3
8156,R. Oxford,19,England,67,80,182.88,3
8157,R. Gelmi,23,Switzerland,67,77,182.88,3
8158,Elgezabal,25,Spain,67,71,182.88,3
8159,C. Schorch,29,Germany,67,67,182.88,3
8160,F. Migliore,30,Italy,67,67,152.4,2
8161,M. Gilks,36,Scotland,67,67,182.88,2
8162,Renan Tojeiras,34,Brazil,67,67,152.4,2
8163,G. Miura,23,Japan,67,76,182.88,3
8164,Juande,31,Spain,67,67,182.88,3
8165,H. Rojas,30,Colombia,67,67,152.4,3
8166,Nuno Cedrim,26,Brazil,67,67,152.4,4
8167,F. Orlando,21,Italy,67,79,152.4,3
8168,I. Henderson,33,England,67,67,152.4,3
8169,L. Bostyn,24,Belgium,67,71,182.88,3
8170,L. Abergel,25,France,67,71,152.4,3
8171,A. Zapata,23,Colombia,67,74,152.4,3
8172,M. Smith,26,England,67,68,182.88,3
8173,N. Zimling,33,Denmark,67,67,152.4,3
8174,J. Bager,21,Denmark,67,74,182.88,3
8175,G. Masouras,21,Greece,67,74,152.4,2
8176,G. Bourillon,34,France,67,67,182.88,4
8177,A. D'Alberto,23,Belgium,67,72,152.4,2
8178,Lee Seok Hyun,28,Korea Republic,67,67,152.4,4
8179,W. Francis,27,Costa Rica,67,67,152.4,2
8180,B. Vătăjelu,25,Romania,67,70,152.4,2
8181,M. Bani,24,Italy,67,72,182.88,2
8182,N. Butzen,25,Germany,67,69,152.4,4
8183,L. Ilić,18,Serbia,67,79,182.88,2
8184,E. Trejo,28,Mexico,67,67,152.4,3
8185,T. Eaves,26,England,67,68,182.88,4
8186,D. Del Fabro,23,Italy,67,72,182.88,3
8187,Pol García,23,Spain,67,73,182.88,3
8188,F. Escobar,23,Argentina,67,74,182.88,3
8189,D. Agazzi,25,Italy,67,70,152.4,3
8190,C. Cambon,31,France,67,67,182.88,3
8191,A. Tembeng,26,Cameroon,67,70,182.88,3
8192,A. Gomes,17,England,67,87,152.4,4
8193,Estevãtinho,26,Brazil,67,67,152.4,3
8194,S. Lex,28,Germany,67,67,152.4,4
8195,Bernabé,25,Spain,67,73,182.88,3
8196,K. Matsubara,25,Japan,67,72,152.4,3
8197,E. Purita,21,Argentina,67,81,152.4,3
8198,S. Guri,24,Albania,67,71,182.88,3
8199,C. Albanis,23,Greece,67,73,182.88,3
8200,F. Holthaus,23,Germany,67,75,152.4,2
8201,L. da Silva Lopes,19,Portugal,67,79,152.4,3
8202,S. MacDonald,30,Wales,67,67,182.88,3
8203,M. Reynolds,31,Scotland,67,67,152.4,3
8204,M. Janota,27,Poland,67,67,152.4,3
8205,Piao Cheng,28,China PR,67,67,152.4,3
8206,M. McNulty,25,Scotland,67,69,152.4,3
8207,Alan Schons,25,Brazil,67,70,152.4,3
8208,L. Heredia,21,Argentina,67,75,182.88,4
8209,T. Elliott,27,England,67,67,182.88,3
8210,R. Lundström,28,Sweden,67,67,182.88,4
8211,S. Ganz,24,Italy,67,72,152.4,2
8212,A. El Kaabi,25,Morocco,67,71,182.88,2
8213,P. Testroet,27,Germany,67,67,182.88,4
8214,S. Benyamina,28,Germany,67,67,182.88,3
8215,C. Sepúlveda,26,Chile,67,72,152.4,3
8216,E. Assifuah,24,Ghana,67,70,152.4,5
8217,L. Robles,31,Mexico,67,67,152.4,3
8218,V. N'Simba,24,DR Congo,67,70,152.4,3
8219,C. Handke,29,Germany,67,67,182.88,3
8220,S. Córdova,20,Venezuela,67,78,182.88,2
8221,K. Kratz,31,Germany,67,67,152.4,5
8222,M. Lowe,21,England,67,77,152.4,2
8223,Claude Gonçalves,24,Portugal,67,71,152.4,2
8224,D. Swanson,31,Scotland,67,67,152.4,3
8225,G. Trauner,26,Austria,67,72,182.88,3
8226,Accioly,37,Brazil,67,67,182.88,3
8227,G. Iñíguez,24,Argentina,67,72,152.4,3
8228,D. Furlong,22,England,67,74,152.4,3
8229,J. Larsson,21,Sweden,67,77,152.4,2
8230,Matheus Índio,22,Brazil,67,75,152.4,3
8231,Guarrotxena,25,Spain,67,68,152.4,3
8232,D. McGowan,26,Australia,67,68,182.88,2
8233,B. Sankoh,26,Guinea,67,70,152.4,3
8234,G. Evans,30,England,67,67,182.88,4
8235,J. Gómez,27,Argentina,67,68,182.88,2
8236,A. Márquez,26,Chile,67,68,152.4,2
8237,O. Čelůstka,29,Czech Republic,67,67,182.88,3
8238,F. Öztorun,31,Turkey,67,67,152.4,2
8239,C. Mafla,25,Colombia,67,71,152.4,3
8240,I. Ochoa,21,Mexico,67,75,182.88,3
8241,Lucas Fernandes,20,Brazil,67,80,152.4,2
8242,Fernando Andrade,25,Brazil,67,72,182.88,2
8243,T. Breukers,30,Netherlands,67,67,182.88,4
8244,E. Salomonsson,29,Sweden,67,67,182.88,2
8245,A. Iacobucci,27,Italy,67,68,182.88,1
8246,P. Izzo,23,Australia,67,72,182.88,3
8247,M. Farrona Pulido,25,Germany,67,69,152.4,5
8248,S. Diarra,23,Mali,67,73,152.4,3
8249,Frederico Rendel,30,Brazil,67,67,152.4,2
8250,R. Tait,28,Scotland,67,67,152.4,4
8251,Y. Kurtuluş,32,Turkey,67,67,152.4,4
8252,M. Starke,27,Namibia,67,68,152.4,3
8253,J. Wilson,22,England,67,74,182.88,4
8254,E. Tozlu,27,Turkey,67,67,152.4,3
8255,Javi Flores,32,Spain,67,67,152.4,3
8256,R. Cereceda,33,Chile,67,67,152.4,4
8257,E. Padella,29,Italy,67,67,182.88,2
8258,J. Onguéné,20,Cameroon,67,81,182.88,3
8259,B. Bahn,25,Germany,67,69,152.4,3
8260,D. Prokop,21,Austria,67,78,152.4,3
8261,N. Seufert,21,Germany,67,78,182.88,3
8262,S. Lobjanidze,23,Georgia,67,75,152.4,4
8263,J. Miño,30,Argentina,67,67,152.4,3
8264,M. Ullmann,22,Austria,67,76,152.4,4
8265,M. Mandorlini,29,Italy,67,67,152.4,3
8266,C. Mahoney,21,England,67,77,152.4,4
8267,J. Fortes,29,Cape Verde,67,67,182.88,2
8268,G. Mastinu,26,Italy,67,68,152.4,2
8269,Alex Doneiro,30,Brazil,67,67,152.4,3
8270,Miguel Oliveira,24,Portugal,67,71,182.88,2
8271,J. von Haacke,24,Germany,67,71,152.4,3
8272,Jang Yun Ho,21,Korea Republic,67,74,152.4,3
8273,F. Beijmo,20,Sweden,67,79,182.88,3
8274,D. Furman,30,South Africa,67,67,182.88,3
8275,Park Jong Woo,29,Korea Republic,67,67,152.4,3
8276,E. Lieftink,24,Netherlands,67,72,182.88,2
8277,Diego Aguirre,27,Spain,67,67,152.4,3
8278,Gustavo Pastinho,26,Brazil,67,67,182.88,3
8279,R. Manaj,21,Albania,67,78,182.88,4
8280,F. Kadioglu,18,Netherlands,67,79,152.4,3
8281,Alex López,21,Spain,67,75,152.4,3
8282,D. Perkins,36,England,67,67,152.4,3
8283,J. Bendik,29,United States,67,69,182.88,3
8284,Varela,23,Spain,67,74,152.4,3
8285,Oriol Busquets,19,Spain,67,82,182.88,3
8286,Pipa,20,Spain,67,75,152.4,3
8287,Pardo,30,Spain,67,67,182.88,3
8288,T. Lam,24,Finland,67,70,182.88,4
8289,J. Rodon,20,Wales,67,76,182.88,3
8290,Abel Ruiz,18,Spain,67,83,182.88,3
8291,J. Attinella,29,United States,67,68,182.88,2
8292,A. Mendoza,24,Mexico,67,71,152.4,2
8293,P. Zinckernagel,23,Denmark,67,73,152.4,2
8294,E. Güral,29,Turkey,67,67,182.88,3
8295,Ko Seung Beom,24,Korea Republic,67,72,152.4,4
8296,E. Zhegrova,19,Kosovo,67,80,152.4,3
8297,B. Baráth,26,Hungary,67,69,182.88,3
8298,E. Bakker,28,Netherlands,67,67,152.4,3
8299,G. Kastaneer,22,Curacao,67,76,182.88,3
8300,R. Rubin,22,United States,67,74,152.4,3
8301,F. Altamirano,22,Argentina,67,79,182.88,3
8302,M. Wanitzek,25,Germany,67,70,152.4,3
8303,H. Fujiharu,29,Japan,67,67,152.4,3
8304,C. Colmán,24,Paraguay,67,73,182.88,3
8305,K. Kuchaev,20,Russia,67,77,182.88,4
8306,J. Shonga,21,Zambia,67,73,152.4,3
8307,S. Sararer,28,Turkey,67,67,152.4,4
8308,M. Grimes,22,England,67,73,152.4,5
8309,G. Kamara,22,Finland,67,75,182.88,4
8310,J. Salas,24,Mexico,67,71,182.88,3
8311,R. Perraud,20,France,67,79,152.4,3
8312,G. Baldock,25,England,67,70,152.4,3
8313,Y. Nakayama,21,Japan,67,74,152.4,3
8314,P. Eler,27,Slovenia,67,68,182.88,4
8315,Nano,33,Spain,67,67,182.88,3
8316,X. Mlambo,27,South Africa,67,68,152.4,3
8317,O. Andrievskyi,24,Ukraine,67,74,152.4,2
8318,A. Judge,29,Republic of Ireland,67,67,152.4,3
8319,E. Alvarado,29,Costa Rica,67,67,182.88,3
8320,Buatu,24,Angola,67,72,182.88,3
8321,A. Czerwiński,25,Poland,67,70,152.4,3
8322,V. Sarno,30,Italy,67,67,152.4,4
8323,M. Pušić,30,Austria,67,67,182.88,3
8324,E. Fryers,25,England,67,70,182.88,2
8325,P. Caballero,32,Argentina,67,67,182.88,4
8326,A. El-Abd,33,Egypt,67,67,152.4,3
8327,K. Wojtkowski,20,Poland,67,81,152.4,4
8328,T. Boss,25,Germany,67,73,182.88,3
8329,J. Earl,19,England,67,78,182.88,3
8330,S. Özkan,31,Turkey,67,67,152.4,3
8331,J. Murillo,24,Colombia,67,73,182.88,3
8332,S. Jaime,31,Argentina,67,67,152.4,3
8333,M. Bader,21,Germany,67,75,152.4,3
8334,D. Arboleda,23,Colombia,67,78,182.88,2
8335,B. Merlini,22,Argentina,67,76,152.4,3
8336,M. Smith,29,Northern Ireland,67,67,152.4,4
8337,M. Helik,22,Poland,67,72,182.88,3
8338,J. Föhrenbach,22,Germany,67,73,182.88,3
8339,K. Mizunuma,28,Japan,67,67,152.4,4
8340,S. Jamieson,29,Australia,67,67,152.4,3
8341,R. Grange,29,France,67,67,152.4,4
8342,D. Nazarov,28,Azerbaijan,67,67,182.88,4
8343,C. Robles,26,Colombia,67,71,152.4,3
8344,M. Akbaş,28,Turkey,67,67,182.88,2
8345,J. Eggestein,20,Germany,67,81,182.88,4
8346,P. Bouby,34,France,67,67,182.88,3
8347,V. Berisha,24,Norway,67,70,152.4,4
8348,Sérgio Marakis,26,Portugal,67,69,152.4,3
8349,N. Rubio,23,Colombia,67,76,152.4,3
8350,Xande Silva,21,Portugal,67,77,152.4,3
8351,Claudio Silbeiro,34,Brazil,67,67,182.88,3
8352,S. Marzo,27,Belgium,67,67,152.4,3
8353,G. Villagra,36,Chile,67,67,152.4,3
8354,Carlos Abad,23,Spain,67,77,182.88,3
8355,M. Prévot,21,France,67,79,182.88,3
8356,C. Maguire,29,Scotland,67,67,152.4,4
8357,F. Serrarens,27,Netherlands,67,68,182.88,3
8358,K. Løkberg,26,Norway,67,70,152.4,4
8359,S. Scherder,25,Germany,67,69,182.88,4
8360,Venanzio Meirás,30,Brazil,67,67,182.88,4
8361,João Pedro,25,Brazil,67,70,152.4,4
8362,L. Duarte,27,Netherlands,67,67,152.4,4
8363,Quintanilla,27,Spain,67,69,182.88,3
8364,E. Carvajal,29,Chile,67,67,152.4,3
8365,T. Fosu,22,England,67,75,152.4,3
8366,L. Caicedo,22,Colombia,67,74,152.4,3
8367,Néstor Albiach,25,Spain,67,69,182.88,2
8368,A. DeLaGarza,30,Guam,67,67,152.4,3
8369,A. Durak,31,Turkey,67,67,152.4,3
8370,T. Haye,23,Netherlands,67,71,152.4,4
8371,Jaílson,22,Brazil,67,78,152.4,3
8372,J. Steele,27,England,67,70,182.88,3
8373,P. Vlachodimos,26,Greece,67,67,182.88,3
8374,D. Bohar,26,Slovenia,67,67,152.4,4
8375,H. Elhouni,24,Libya,67,72,152.4,2
8376,O. Mihálik,21,Czech Republic,67,75,182.88,3
8377,L. Nestor,29,France,67,68,152.4,3
8378,J. Thomassen,30,Norway,67,67,152.4,4
8379,S. Lewerenz,27,Germany,67,67,152.4,4
8380,V. Marchetti,20,France,67,77,152.4,3
8381,G. Lódico,20,Argentina,67,79,152.4,3
8382,Leandro,25,Brazil,67,69,152.4,4
8383,R. Colclough,23,England,67,73,182.88,3
8384,J. Ampuero,31,Chile,67,67,182.88,3
8385,Dani Romera,22,Spain,67,75,152.4,3
8386,C. Acuña,30,Paraguay,67,67,152.4,3
8387,A. Radovanović,24,Serbia,67,71,182.88,2
8388,W. Moimbé-Tahrat,29,France,67,67,152.4,2
8389,R. de Boer,20,Netherlands,67,78,182.88,3
8390,N. Julan,21,France,67,78,182.88,3
8391,T. Ebner,26,Austria,67,68,152.4,3
8392,A. Vindheim,22,Norway,67,74,182.88,3
8393,L. Acevedo,26,Argentina,67,70,182.88,3
8394,S. Zúñiga,28,Chile,67,67,152.4,3
8395,T. Vlietinck,20,Belgium,67,79,152.4,4
8396,E. Friberg,32,Sweden,67,67,152.4,4
8397,A. Oshilaja,25,England,67,71,152.4,3
8398,G. Herrera,34,Argentina,67,67,152.4,3
8399,J. Nyholm,24,Sweden,67,73,182.88,3
8400,D. Nishi,30,Japan,67,67,152.4,3
8401,Nadjack,24,Guinea Bissau,67,72,182.88,3
8402,K. Broadfoot,33,Scotland,67,67,182.88,3
8403,K. Omori,26,Japan,67,67,152.4,3
8404,K. Begois,36,Belgium,67,67,182.88,3
8405,Alemão,31,Brazil,67,67,152.4,2
8406,T. Asta-Buruaga,21,Chile,67,76,182.88,2
8407,K. Azamoum,28,France,67,67,152.4,2
8408,A. Mozo,21,Mexico,67,74,152.4,3
8409,A. Gilbey,23,England,67,74,182.88,3
8410,S. Nagasawa,29,Japan,67,67,182.88,3
8411,Jorge Fellipe,29,Brazil,67,67,182.88,2
8412,M. Rutten,25,Netherlands,67,70,152.4,3
8413,Neris,26,Brazil,67,72,182.88,3
8414,Moon Chang Jin,24,Korea Republic,67,70,152.4,4
8415,J. Mena,29,Colombia,67,68,182.88,2
8416,C. Espinosa,35,Chile,67,67,152.4,3
8417,A. Nkaka,22,Belgium,67,74,152.4,3
8418,Álvaro Tejero,21,Spain,67,77,152.4,3
8419,F. Concas,31,Italy,67,67,152.4,3
8420,A. Coșelev,24,Moldova,67,72,182.88,2
8421,D. Kolovos,25,Greece,67,71,182.88,4
8422,Zhang Yuning,21,China PR,67,74,182.88,4
8423,J. Perch,32,England,67,67,152.4,3
8424,Rafael de Aseiro,26,Brazil,67,67,182.88,1
8425,I. Niane,19,Senegal,67,81,182.88,3
8426,J. Anibaba,29,United States,67,67,182.88,3
8427,Iñigo Muñoz,21,Spain,67,79,152.4,3
8428,T. Sana,28,Sweden,67,67,152.4,3
8429,P. Papp,28,Romania,67,67,182.88,3
8430,T. Tzandaris,25,Greece,67,70,152.4,4
8431,K. Staude,21,Germany,67,76,152.4,3
8432,A. Oumarou,31,Cameroon,67,67,182.88,3
8433,Lee Bum Young,29,Korea Republic,67,67,182.88,2
8434,I. Kecojević,30,Montenegro,67,67,182.88,3
8435,L. Cárdenas,24,Mexico,67,72,182.88,3
8436,L. López,24,Mexico,67,71,152.4,3
8437,A. Sedlar,26,Serbia,67,70,152.4,3
8438,A. Woodyard,25,England,67,71,152.4,3
8439,I. Koné,27,France,67,69,152.4,4
8440,J. Hernández,32,Colombia,67,67,152.4,3
8441,J. Espinoza,26,Chile,67,67,152.4,4
8442,T. Hamed,29,Egypt,67,67,152.4,2
8443,L. Dvali,23,Georgia,67,73,182.88,3
8444,T. Ugajin,30,Japan,67,67,152.4,4
8445,Abraham,32,Spain,67,67,152.4,2
8446,G. Edwards,25,Wales,67,70,152.4,3
8447,J. Zuluaga,25,Colombia,67,71,152.4,3
8448,A. Lundqvist,24,Sweden,67,73,152.4,2
8449,C. Wyke,25,England,67,70,182.88,3
8450,B. Godeau,26,Belgium,67,70,182.88,3
8451,P. Mullins,26,United States,67,69,182.88,3
8452,T. Sekine,23,Japan,67,72,152.4,3
8453,Zé Turbo,21,Guinea Bissau,67,76,182.88,3
8454,I. Franjić,30,Australia,67,67,152.4,2
8455,M. Boxall,29,New Zealand,67,67,182.88,2
8456,J. Schoop,29,Denmark,67,67,152.4,2
8457,C. Traoré,26,Mali,67,68,152.4,2
8458,J. Williams,30,United States,67,67,182.88,4
8459,A. Jackson,24,England,67,75,182.88,3
8460,L. Povea,24,Chile,67,73,152.4,3
8461,S. Ngom,25,Senegal,67,71,152.4,4
8462,Adaílton,27,Brazil,67,67,152.4,2
8463,A. Bell,24,England,67,74,152.4,3
8464,B. Galloway,22,England,67,72,182.88,3
