,Name,Age,Club,OVA,POT,Height,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY
7148,N. Sandberg,25,FK Haugesund,66,68,183,Norway,LM,71,62,65,67,51,63
7149,T. Golley,29,1. FC Saarbrücken,61,61,183,Germany,RM,75,55,56,61,33,57
7150,C. Burton,23,Cambridge United,59,65,188,England,GK,63,57,61,60,44,58
7151,H. Lewis,22,Southampton,62,74,190,England,GK,64,59,56,64,33,60
7152,T. Adarabioyo,22,Manchester City,70,81,193,England,CB,61,31,55,55,70,72
7153,C. Cadden,23,Columbus Crew SC,67,74,183,Scotland,RM,75,60,65,69,59,73
7154,D. Ramírez,24,Club León,67,73,165,Mexico,RM,84,59,57,73,39,60
7155,Zhang Chenglin,33,Wuhan Zall,61,61,183,China PR,CB,60,38,50,59,60,67
7156,A. Long,27,New York Red Bulls,75,78,185,United States,CB,76,40,57,63,74,80
7157,A. Koselev,26,Fortuna Sittard,69,71,201,Moldova,GK,68,66,58,72,29,69
7158,T. Hamed,31,Egypt,76,76,170,Egypt,CDM,64,59,69,69,75,75
7159,O. Duda,25,1. FC Köln,75,79,180,Slovakia,CAM,68,73,72,79,54,61
7160,J. Bree,22,Luton Town,67,76,178,England,RB,68,40,60,62,64,65
7161,Y. Koné,24,Elche CF,76,81,175,Mali,LB,85,47,64,73,70,75
7162,E. Hansson,22,Fortuna Sittard,69,77,173,Sweden,RM,76,59,65,74,35,50
7163,L. Salvesen,24,Strømsgodset IF,64,70,185,Norway,ST,68,64,48,60,27,75
7164,Liu Weiguo,28,Guangzhou Evergrande Taobao FC,57,60,196,China PR,GK,58,50,60,59,48,58
7165,Zhou Tong,30,Wuhan Zall,61,61,170,China PR,LM,82,52,57,60,51,47
7166,Sun Bo,29,Dalian YiFang FC,59,59,178,China PR,RM,80,54,54,59,42,60
7167,Liu Jiashen,28,Qingdao Huanghai F.C.,53,55,190,China PR,CB,54,21,25,32,54,70
7168,Cao Yunding,30,Shanghai Greenland Shenhua FC,72,72,173,China PR,LM,84,64,71,70,34,66
7169,J. Correa,26,FC Chambly Oise,64,66,170,France,RM,84,61,53,69,29,57
7170,P. Strand,25,SK Brann,65,68,175,Norway,RM,84,62,62,69,60,71
7171,P. Anton,29,Romania,70,70,183,Romania,CDM,60,58,66,60,67,70
7172,V. Bozhikov,32,Bulgaria,67,67,185,Bulgaria,CB,56,35,51,48,67,71
7173,P. Berg,22,FK Bodø/Glimt,72,80,178,Norway,CM,77,61,72,71,61,71
7174,Yang Hyung Mo,28,Suwon Samsung Bluewings,63,64,185,Korea Republic,GK,61,61,62,67,52,62
7175,Ji Xiang,30,Jiangsu Suning FC,69,69,185,China PR,RB,69,58,71,65,65,71
7176,T. Bishop,23,Ipswich Town,64,70,178,England,CAM,70,59,66,69,52,59
7177,C. Dessers,25,KRC Genk,72,75,185,Nigeria,ST,75,75,54,65,28,72
7178,N. Jackers,22,Waasland-Beveren,67,73,188,Belgium,GK,68,65,61,70,44,65
7179,J. Bartosz,22,Wisła Kraków,62,68,183,Poland,RB,80,55,52,62,57,71
7180,Jiang Zhipeng,31,China PR,69,69,180,China PR,LB,74,57,69,68,64,65
7181,Tang Miao  B,29,Guangzhou R&F FC,70,70,178,China PR,RB,75,29,64,69,61,78
7182,Chang Feiya,27,Guangzhou R&F FC,56,57,180,China PR,RM,75,48,52,59,37,48
7183,G. Lloris,24,AJ Auxerre,67,70,190,France,CB,50,36,50,52,69,68
7184,G. Esparza,27,Sol de América,70,70,168,Argentina,LM,90,60,64,72,44,54
7185,J. Angulo,24,Junior FC,68,73,183,Colombia,LWB,73,34,56,67,64,74
7186,M. Wdowiak,23,Cracovia,67,72,175,Poland,RM,90,57,60,69,40,62
7187,L. Klostermann  B,24,RB Leipzig,80,85,188,Germany,CB,84,51,66,71,82,77
7188,Zang Yifeng,26,Shijiazhuang Ever Bright F.C.,49,50,168,China PR,CAM,52,47,49,50,28,34
7189,Shi Ke,27,Shanghai SIPG FC,67,70,183,China PR,CB,66,26,44,46,67,73
7190,A. Ajeti,23,Celtic,72,79,183,Switzerland,ST,77,71,60,69,29,73
7191,L. Valzania,23,US Cremonese,67,74,183,Italy,CAM,69,60,62,67,58,59
7192,B. Embolo,23,Borussia Mönchengladbach,78,84,185,Switzerland,ST,87,76,70,74,40,81
7193,A. Miranchuk,24,Lokomotiv Moscow,76,83,183,Russia,CAM,76,73,74,77,28,62
7194,E. Smith,23,IFK Norrköping,66,72,193,Sweden,CM,63,56,61,62,59,75
7195,F. Arce,23,Club Necaxa,63,72,183,United States,CB,62,53,59,61,59,74
7196,J. Meza,26,Querétaro,60,61,178,Mexico,RB,67,44,57,53,60,57
7197,L. Chávez,24,Pachuca,66,73,178,Mexico,CAM,69,61,66,69,60,51
7198,N. Haikin,24,FK Bodø/Glimt,66,72,185,Russia,GK,69,64,65,68,48,62
7199,Unai López,24,Athletic Club de Bilbao,77,81,170,Spain,CAM,74,71,78,79,67,69
7200,J. Minala,23,Qingdao Huanghai F.C.,68,74,183,Cameroon,CM,59,63,64,68,63,73
7201,D. Ball,24,Queens Park Rangers,67,73,185,England,CDM,60,41,58,57,65,73
7202,M. Risso,32,Club Plaza Colonia,67,67,193,Uruguay,CB,36,29,45,42,67,76
7203,C. Ogilvie,24,Gillingham,66,73,183,England,LB,69,36,59,62,65,66
7204,H. Winks,24,Tottenham Hotspur,79,84,175,England,CM,67,58,78,82,72,68
7205,M. Normann,24,Norway,75,81,178,Norway,CDM,72,61,71,75,69,79
7206,L. Kinsella,24,Walsall,63,68,175,Republic of Ireland,CDM,73,53,60,64,64,76
7207,K. Veendorp,23,FC Emmen,66,72,183,Netherlands,CB,65,49,57,55,65,72
7208,J. Prior,24,Valenciennes FC,72,78,188,France,GK,70,69,68,78,52,71
7209,G. Ward,25,Blackpool,66,68,178,England,CAM,72,60,64,66,55,60
7210,A. Jakubiak,22,St. Mirren,60,69,178,Scotland,ST,79,58,46,63,25,57
7211,J. Komar,23,Club Atlético Talleres,72,81,190,Argentina,CB,60,36,51,48,73,78
7212,A. Cubas,24,Nîmes Olympique,75,82,165,Paraguay,CDM,69,52,68,72,75,57
7213,F. Viáfara,28,Junior FC,71,71,168,Colombia,RB,89,53,61,68,62,56
7214,Feng Gang,27,Hebei China Fortune FC,56,57,175,China PR,CM,78,46,55,62,56,50
7216,B. Mensah,25,Beşiktaş JK,75,80,180,Ghana,CAM,80,70,73,77,63,65
7217,Rochinha,25,Vitória Guimarães,72,75,170,Portugal,RM,82,64,65,76,40,49
7218,Sivera,23,Deportivo Alavés,72,78,183,Spain,GK,72,70,68,72,56,73
7219,José Carlos,24,AD Alcorcón,64,73,185,Spain,CB,40,37,53,54,65,65
7220,Ivi,26,Raków Częstochowa,72,73,175,Spain,CAM,79,72,69,74,43,63
7221,J. Rasheed,28,BK Häcken,61,64,190,Norway,GK,63,58,61,62,31,59
7222,D. Granli,26,Aalborg BK,65,69,188,Norway,CB,64,48,56,58,65,69
7223,M. Thorsby,24,Sampdoria,69,75,188,Norway,CB,62,59,65,65,69,78
7224,L. Reed,22,Peterborough United,65,74,173,England,CAM,67,56,62,67,59,67
7225,D. Mesenhöler,23,Viktoria Köln,65,71,188,Germany,GK,66,66,56,64,49,62
7226,N. Fazzi,24,Atalanta,64,69,183,Italy,RWB,70,44,60,65,59,74
7227,L. Sané,24,FC Bayern München,85,90,183,Germany,LM,93,81,79,86,38,67
7228,M. Friedrich,24,1. FC Union Berlin,74,79,193,Germany,CB,60,36,56,50,75,72
7229,Y. Leiva,22,Club Necaxa,69,79,165,Chile,RM,77,62,63,70,48,61
7231,T. Castagne,24,Leicester City,77,82,180,Belgium,RWB,81,57,71,76,76,68
7232,H. Isted,23,Luton Town,57,67,185,England,GK,61,55,56,60,36,53
7233,Dani Ceballos,23,Arsenal,80,85,178,Spain,CM,69,70,79,83,69,70
7234,I. Pomazun,22,PFC CSKA Moscow,66,74,190,Russia,GK,64,65,68,66,38,67
7235,E. Unsain,25,Defensa y Justicia,74,80,188,Argentina,GK,77,69,76,79,56,68
7236,R. Aarons,24,Newcastle United,70,74,175,England,LM,78,63,67,73,39,54
7237,F. Woodman,23,Swansea City,72,82,190,England,GK,72,68,69,73,45,71
7238,A. Stølås,31,FK Haugesund,65,65,183,Norway,LW,68,68,66,68,60,70
7239,O. Hüsing,27,1. FC Heidenheim 1846,70,72,193,Germany,CB,46,32,45,45,70,79
7240,L. Gooch,24,Sunderland,67,72,173,United States,CAM,79,63,64,70,51,71
7241,L. Orejuela,22,Ajax,67,73,180,Colombia,RB,80,45,59,65,62,71
7242,Zizo,24,Egypt,70,73,175,Egypt,RM,80,65,67,72,52,69
7243,E. Koulouris,24,Toulouse Football Club,70,73,183,Greece,ST,67,72,54,66,27,60
7244,L. Zingerle,26,SC Paderborn 07,72,74,185,Germany,GK,70,69,67,75,43,72
7245,S. Griesbeck,29,1. FC Union Berlin,72,72,188,Germany,CB,62,47,60,56,73,83
7246,J. Glad,23,Real Salt Lake,68,75,185,United States,CB,70,27,50,49,68,72
7247,R. Karsdorp,25,Roma,75,77,183,Netherlands,RB,84,63,72,73,71,72
7248,T. Zwane,30,South Africa,74,74,170,South Africa,CAM,78,65,72,76,49,62
7249,R. Rúnarsson,25,Arsenal,70,75,185,Iceland,GK,71,68,72,71,46,70
7250,Iván Villar,22,RC Celta,68,75,188,Spain,GK,69,63,65,70,33,66
7251,A. Tello,23,Benevento,70,77,180,Colombia,RM,86,58,69,75,61,81
7252,Pleguezuelo,23,FC Twente,66,73,180,Spain,CB,66,35,55,66,67,64
7253,Kim Young Bin,28,Gangwon FC,61,62,183,Korea Republic,CB,66,25,42,41,60,70
7254,T. James,24,Wigan Athletic,65,71,180,Wales,RB,72,55,58,62,61,70
7255,F. Escobar  B,25,Atlanta United,69,74,175,Argentina,RB,71,47,57,67,68,68
7256,M. Manotas,24,Houston Dynamo,71,76,183,Colombia,ST,72,71,59,70,33,67
7257,Nélson Monte,24,Rio Ave FC,72,77,188,Portugal,CB,61,37,60,59,73,75
7258,E. Osam,21,UCD AFC,55,66,178,Republic of Ireland,LB,74,36,46,52,49,50
7259,D. Rodríguez,24,Newell's Old Boys,66,73,170,Argentina,CAM,69,60,65,68,55,55
7260,Kim Sang Won,28,Pohang Steelers,62,62,175,Korea Republic,LB,78,51,57,59,56,59
7261,Du Jia,27,Tianjin TEDA FC,61,63,185,China PR,GK,59,55,52,63,51,60
7262,Hui Jiakang,31,Tianjin TEDA FC,64,64,180,China PR,LW,72,61,64,66,39,61
7263,I. Success,24,Watford,71,77,183,Nigeria,ST,73,68,65,75,35,64
7264,G. Kyei,24,Servette FC,65,70,188,France,ST,63,63,49,63,26,77
7265,R. Ramírez,23,Godoy Cruz,67,75,188,Argentina,GK,67,66,59,71,49,64
7266,J. Silva,25,Club Tijuana,67,71,190,Mexico,CB,43,33,39,39,70,72
7267,Y. Asad,25,DC United,72,73,178,Argentina,LM,75,69,67,75,55,65
7268,L. López,26,U.N.A.M.,67,70,175,Mexico,CM,62,50,65,65,63,66
7269,J. Beesley  B,23,Rochdale,56,64,188,England,ST,71,54,46,54,43,65
7270,M. Ødegaard,21,Real Madrid,83,89,178,Norway,CAM,78,75,84,85,58,63
7271,Everaldo,28,Kashima Antlers,72,72,180,Brazil,ST,75,71,60,70,43,76
7272,D. Follonier,26,FC Luzern,62,65,183,Switzerland,CAM,69,65,59,62,28,51
7273,B. Schmitz,25,1. FC Köln,71,74,183,Germany,RB,70,50,64,63,69,70
7274,H. Fertoli,25,Racing Club,69,72,175,Argentina,RM,86,61,62,72,41,61
7275,Marcos Guilherme,23,Al Wehda,75,81,170,Brazil,RM,88,66,71,78,40,54
7276,Petros,31,Al Nassr,79,79,183,Brazil,CDM,68,67,73,76,74,77
7277,Otávio,26,FC Girondins de Bordeaux,77,79,173,Brazil,CDM,61,53,66,72,78,76
7278,Everton,24,SL Benfica,81,86,175,Brazil,CAM,86,75,73,85,32,60
7279,B. Manuel,23,Royal Antwerp FC,71,77,175,Belgium,CAM,79,63,70,76,34,57
7280,Gustavo,26,Jeonbuk Hyundai Motors,68,71,188,Brazil,ST,66,68,46,61,24,70
7281,Kang Sang Woo,26,Pohang Steelers,65,66,175,Korea Republic,LW,81,60,59,65,64,56
7282,Malcom,21,FC Barcelona,82,89,173,Brazil,CAM,84,79,79,85,27,64
7283,Leandro Pereira,28,Sanfrecce Hiroshima,70,70,190,Brazil,ST,65,69,56,67,40,73
7285,L. Zander,24,FC St. Pauli,68,73,185,Germany,RB,77,37,55,61,64,66
7286,T. Pachonik,25,VVV-Venlo,70,75,185,Germany,RWB,75,49,61,68,64,79
7287,E. Salles,26,Grenoble Foot 38,59,63,188,France,GK,61,56,56,62,26,55
7288,S. Burgess,22,Port Vale,62,69,180,England,RM,75,60,61,64,57,56
7289,C. Akolo,25,Amiens SC,72,75,173,DR Congo,RM,79,68,63,78,27,61
7290,R. Ledson,22,Preston North End,67,77,180,England,CDM,61,55,62,64,61,70
7291,M. Zant,24,Türkgücü München,59,64,196,Germany,CB,39,27,35,32,59,72
7292,B. Ajdini,27,VfL Osnabrück,70,71,175,Germany,RM,78,65,70,72,61,62
7293,R. Coly,24,OGC Nice,73,79,185,Senegal,LB,78,45,60,67,69,78
7294,Ronan,25,Rio Ave FC,65,70,196,Brazil,ST,30,67,46,59,26,80
7295,Walace,25,Udinese,72,76,188,Brazil,CDM,65,66,66,67,67,72
7296,A. Samuel,24,Wycombe Wanderers,63,68,183,Wales,ST,80,62,51,65,33,67
7297,Hou Yongyong,22,Beijing Sinobo Guoan FC,62,72,183,China PR,CAM,72,51,59,63,45,59
7298,J. Rose,25,Walsall,62,68,190,England,GK,64,60,58,64,42,61
7299,G. Cooper,23,Plymouth Argyle,64,70,175,England,LM,78,58,65,67,53,57
7300,J. Kayembe,25,Sporting de Charleroi,69,72,180,Belgium,LB,81,55,61,72,63,68
7301,J. Smith,25,Nottingham Forest,67,69,183,England,GK,65,63,55,73,34,64
7302,T. Walker,23,Coventry City,65,74,183,England,ST,84,65,56,68,33,60
7303,Auro,24,Toronto FC,69,73,168,Brazil,RWB,73,51,65,72,64,62
7304,T. Touré,26,Angers SCO,69,70,175,Ivory Coast,LM,75,64,67,71,43,65
7305,L. Acevedo,27,CD Palestino,68,70,198,Argentina,CB,44,38,41,36,66,81
7306,W. Hahn,27,SC Heerenveen,71,73,190,Netherlands,GK,74,67,66,76,48,65
7307,J. Ginnelly,23,Preston North End,66,71,173,England,RM,91,57,57,69,45,61
7308,J. Hesketh,24,Southampton,66,71,168,England,CAM,65,53,67,71,40,44
7309,F. Fumu Tamuzo,25,Clube Sport Marítimo,63,66,180,France,ST,90,59,49,68,32,57
7310,A. Mbengue,26,Stade Malherbe Caen,68,71,178,Senegal,LB,84,46,60,68,62,61
7311,T. Serbest,26,Kasimpaşa SK,68,72,183,Turkey,CM,60,54,65,65,66,71
7312,J. Doherty,24,Crawley Town,61,67,178,Northern Ireland,LB,68,33,43,58,59,68
7313,B. Close,23,Portsmouth,66,75,175,England,CDM,71,62,65,65,62,64
7314,Jony,28,CA Osasuna,78,78,178,Spain,LM,82,69,77,77,52,66
7315,Pablo Pérez,26,Real Sporting de Gijón,66,67,188,Spain,ST,60,63,67,65,52,64
7316,M. Rodák,23,Fulham,74,81,196,Slovakia,GK,76,71,72,75,46,70
7317,S. Moreo,27,Empoli,69,69,190,Italy,ST,75,66,60,65,51,79
7318,J. Hergault,34,FC Lorient,68,68,185,France,RB,55,44,66,68,64,72
7319,E. Oztumer,29,Charlton Athletic,68,68,160,England,CAM,74,66,67,71,30,52
7320,G. Sloggett,23,Dundalk,60,67,188,Republic of Ireland,CM,57,54,60,57,53,58
7321,A. Blin,23,Amiens SC,73,77,183,France,CDM,48,55,67,65,72,74
7322,M. Morishige,33,FC Tokyo,71,71,183,Japan,CB,60,58,62,61,72,73
7323,H. Yamaguchi,29,Vissel Kobe,70,70,173,Japan,CM,75,64,70,72,65,71
7324,M. Saito,30,Kawasaki Frontale,67,67,170,Japan,LM,75,65,65,68,22,55
7325,Y. Kakitani,30,Cerezo Osaka,68,68,178,Japan,LM,75,65,61,69,25,61
7326,M. Nakamba,26,Aston Villa,75,78,175,Zimbabwe,CDM,71,49,63,71,74,79
7327,K. Aktaş,25,Gazişehir Gaziantep F.K.,61,66,183,Turkey,CDM,66,44,58,59,61,61
7328,J. Nolan,28,Ipswich Town,65,65,180,England,CM,69,62,63,68,57,63
7329,M. Coppolaro,22,Virtus Entella,66,75,188,Italy,RB,69,42,53,57,65,73
7330,L. Morosini,24,Brescia,68,74,175,Italy,RM,78,59,67,71,30,60
7331,S. Ay,28,Çaykur Rizespor,68,68,183,Turkey,CB,65,42,49,48,66,75
7332,H. Acar,25,Kayserispor,60,63,183,Turkey,CM,55,45,63,62,56,59
7333,A. Kara,27,Kasimpaşa SK,70,71,185,Turkey,CM,61,69,69,66,64,82
7334,Jorge Meré,23,1. FC Köln,72,79,183,Spain,CB,66,30,53,64,73,72
7335,E. Ersu,26,Atiker Konyaspor,63,66,196,Turkey,GK,63,61,60,66,36,63
7336,U. Çiftçi,28,Sivasspor,69,69,178,Turkey,LB,74,47,67,69,64,70
7337,A. Çalık,26,Galatasaray SK,69,71,183,Turkey,CB,67,40,53,58,69,70
7338,C. Penilla,29,New England Revolution,71,71,175,Ecuador,LM,81,66,67,71,28,62
7339,D. Kuzyaev,27,Russia,76,77,183,Russia,CAM,80,68,73,78,72,66
7340,F. Cervi,26,SL Benfica,78,79,165,Argentina,LM,92,65,70,84,58,56
7341,F. Noguera,26,SD Ponferradina,67,69,193,Argentina,CB,44,38,41,43,65,78
7342,A. Chávez,29,Club Atlético Huracán,72,72,183,Argentina,ST,71,75,64,70,36,80
7343,O. Sowunmi,24,Colchester United,61,66,198,England,CB,55,36,37,37,60,77
7344,J. Muldoon,31,Harrogate Town,60,60,178,England,ST,75,59,49,59,23,62
7345,D. Rotariu,23,Romania,70,75,180,Romania,LW,75,66,65,74,31,54
7346,W. Norris,26,Burnley,65,67,196,England,GK,67,62,60,67,45,63
7347,L. Berry,27,Luton Town,67,67,178,England,CAM,68,62,66,68,59,68
7348,R. Donelon,24,Sligo Rovers,59,64,170,Republic of Ireland,LB,67,35,56,58,53,60
7349,F. Palacios Martínez,25,SSV Jahn Regensburg,66,71,170,Spain,CAM,68,63,57,76,31,44
7350,M. McNulty,27,Reading,67,67,178,Scotland,ST,74,69,53,64,32,68
7351,N. Oroz,25,Racing Club,70,72,173,Argentina,CAM,75,59,67,74,52,58
7352,K. Piątek,25,Hertha BSC,78,83,183,Poland,ST,73,79,53,75,38,71
7353,P. Gladon,28,Willem II,64,64,188,Netherlands,ST,46,64,54,58,27,67
7354,J. Fortes,31,Sparta Rotterdam,68,68,183,Cape Verde,RB,77,47,59,61,66,75
7355,Y. Erdoğan,27,Kasimpaşa SK,71,71,170,Turkey,LM,88,68,62,75,59,65
7356,F. Bonazzoli,23,Sampdoria,67,75,183,Italy,ST,70,65,51,65,28,59
7357,A. Briançon,25,Nîmes Olympique,74,77,185,France,CB,57,48,59,54,74,79
7358,A. Zedadka,25,Clermont Foot 63,67,71,173,France,RWB,83,53,54,69,60,61
7359,U. Garcia,24,BSC Young Boys,72,79,183,Switzerland,LB,76,42,61,68,66,74
7360,F. Rodríguez,24,FC Lugano,61,66,178,Switzerland,RM,67,59,61,66,35,54
7361,J. Biada,27,SV Sandhausen,68,69,178,Germany,CAM,71,73,61,68,35,65
7362,D. Oberlin,22,FC Basel 1893,68,75,183,Switzerland,ST,91,66,59,73,42,64
7363,O. Tufan,25,Fenerbahçe SK,72,77,178,Turkey,CDM,71,65,70,73,71,75
7364,A. Novakovich,22,Frosinone,68,73,190,United States,ST,70,69,42,66,26,65
7365,R. Dickie,24,Queens Park Rangers,68,74,196,England,CB,54,36,48,54,68,75
7366,J. Baraye,20,Virtus Entella,57,68,183,Senegal,LB,80,43,44,54,52,58
7367,D. Wilson,22,Macclesfield Town,61,67,180,England,ST,78,59,46,59,22,62
7368,O. Kocuk,24,Galatasaray SK,65,71,188,Turkey,GK,66,68,61,68,34,62
7369,N. Anderton,24,Carlisle United,60,67,188,England,CB,63,31,47,52,58,66
7370,J. Thomasen,24,Odense Boldklub,64,70,178,Denmark,CM,60,58,62,63,62,60
7371,E. Ünal,23,Getafe CF,75,81,188,Turkey,ST,69,77,64,76,36,77
7372,A. Adnan,26,Vancouver Whitecaps FC,75,76,185,Iraq,LB,78,68,69,76,71,81
7373,M. Altıntaş,21,Yeni Malatyaspor,66,75,190,Turkey,ST,71,59,48,63,32,70
7374,O. Çağlayan,24,Galatasaray SK,72,76,188,Turkey,RM,86,62,66,75,27,66
7375,K. Friesenbichler,26,SK Sturm Graz,65,68,188,Austria,ST,69,64,41,63,22,65
7376,A. Badri,29,Al Ittihad,71,71,178,Tunisia,RW,79,70,64,73,27,60
7377,K. Vandendriessche,30,KV Oostende,69,69,183,France,CM,58,68,67,62,71,83
7378,K. Vermeulen,28,RKC Waalwijk,64,64,188,Netherlands,CAM,49,63,60,63,50,66
7379,C. Manea,22,CFR Cluj,71,80,183,Romania,RB,78,48,63,66,68,73
7380,F. Tănase,25,FCSB (Steaua),71,75,185,Romania,CAM,77,68,70,73,54,63
7381,G. Bettini,26,Club Atlético Huracán,71,72,170,Argentina,RWB,69,43,65,67,68,70
7382,M. Benítez,29,Defensa y Justicia,72,72,178,Argentina,CM,74,63,73,70,64,84
7383,E. Aguilera,31,Club América,71,71,188,Argentina,CB,47,54,54,46,74,76
7384,B. Fernández,25,Club Atlético Colón,70,72,175,Argentina,CAM,81,70,68,70,29,58
7385,J. Lucero,28,Vélez Sarsfield,73,73,178,Argentina,ST,81,71,60,73,32,67
7386,G. Arias,32,Chile,77,77,188,Chile,GK,79,70,73,81,37,79
7387,E. Haugan,22,Östersunds FK,60,64,180,Norway,CB,59,27,44,54,61,63
7388,A. Witry,24,Djurgårdens IF,70,76,178,Norway,RWB,76,54,65,66,65,67
7389,Z. Gordon,27,Central Coast Mariners,62,64,180,Scotland,CB,74,33,46,61,60,75
7390,S. Hendrie,25,Morecambe,62,66,178,Scotland,LB,74,35,46,57,59,68
7391,M. Devlin,26,Aberdeen,66,70,188,Scotland,CB,34,28,35,40,66,79
7392,T. Andreu,31,St. Mirren,64,64,178,France,CAM,50,62,66,64,53,58
7393,S. Kurt,21,Hertha BSC,62,68,173,Germany,LW,66,50,56,72,34,34
7394,M. Pašalić,25,Atalanta,77,81,188,Croatia,CM,63,71,75,76,67,75
7395,F. Fabre,29,Nîmes Olympique,62,62,175,France,CDM,63,47,66,60,59,67
7396,F. Diedhiou,27,Bristol City,71,72,188,Senegal,ST,59,70,47,66,32,74
7397,P. Martinez,31,Nîmes Olympique,73,73,183,France,CB,63,45,63,69,75,74
7398,Carraça,27,FC Porto,75,76,178,Portugal,RB,71,59,70,73,71,72
7399,Samu,22,Boavista FC,67,73,173,Portugal,LM,77,53,60,72,41,53
7400,J. Jach,26,Crystal Palace,66,70,188,Poland,CB,58,45,51,56,64,74
7401,J. Kubicki,24,Lechia Gdańsk,67,72,180,Poland,CDM,75,55,62,66,63,77
7402,H. Arslan,31,Sivasspor,70,70,185,Turkey,CDM,61,65,64,70,68,75
7403,A. Conti,26,Milan,77,80,183,Italy,RWB,75,59,70,75,73,67
7404,M. Sprocati,26,Parma,68,69,173,Italy,CAM,70,65,63,71,22,51
7405,Joelinton,23,Newcastle United,75,81,185,Brazil,ST,77,72,60,74,43,81
7406,Wei Shihao,25,China PR,69,72,178,China PR,CAM,82,68,65,70,36,63
7407,L. López,24,Los Angeles FC,64,70,180,Honduras,GK,64,64,61,64,37,61
7408,B. Vătăjelu,27,Universitatea Craiova,68,69,170,Romania,LM,80,62,66,71,63,66
7409,W. Kaptoum,23,Real Betis,68,74,175,Cameroon,CAM,60,61,66,71,60,60
7410,M. Engels,26,SV Sandhausen,68,69,183,Germany,LM,81,66,63,69,27,67
7411,M. Demetriou,30,Newport County,63,63,180,England,CB,69,49,54,59,62,73
7412,E. Taşdemir,24,Galatasaray SK,71,75,175,Turkey,LWB,84,59,65,73,67,60
7413,A. Fisher,30,Exeter City,61,61,190,England,ST,68,58,46,59,23,68
7414,B. Zech,29,Pogoń Szczecin,68,68,188,Austria,CB,80,29,48,47,70,72
7415,L. Jäger,26,SK Sturm Graz,66,70,183,Austria,CB,56,43,54,56,67,72
7416,D. Luxbacher,28,SKN St. Pölten,65,65,175,Austria,RW,74,64,63,70,61,67
7417,M. Çelik,30,Kayserispor,67,67,178,Turkey,RW,75,65,62,70,25,57
7418,R. Mirzov,27,Spartak Moscow,71,71,178,Russia,LM,81,64,65,76,50,65
7419,M. Sætra,23,Strømsgodset IF,62,68,198,Norway,GK,64,61,58,64,45,60
7420,A. Pešić,28,Al Ittihad,71,71,190,Serbia,ST,66,70,62,66,48,77
7421,I. Rossi,25,River Plate,68,71,183,Argentina,CDM,69,52,63,65,66,76
7422,E. Cecchini,23,Unión de Santa Fe,71,78,180,Argentina,CDM,66,65,68,68,71,70
7423,A. Spörle,24,Dundee United,64,66,185,Argentina,LB,73,49,57,61,59,69
7424,L. Mocio,23,Olympique Lyonnais,62,68,198,France,GK,60,61,63,64,38,61
7425,A. Mendy,26,FC Girondins de Bordeaux,70,72,185,France,ST,69,72,51,63,24,77
7426,I. Chebake,30,Yeni Malatyaspor,71,71,175,Morocco,RB,70,44,57,68,70,69
7427,Danilo,24,OGC Nice,74,78,183,Brazil,CM,68,65,72,72,74,77
7428,E. Goldaniga,26,Genoa,70,71,193,Italy,CB,43,33,41,51,72,67
7429,E. Berggreen,27,SpVgg Greuther Fürth,67,68,193,Denmark,ST,42,68,52,62,30,74
7430,J. Omlin,26,Montpellier HSC,77,82,188,Switzerland,GK,77,75,73,79,50,75
7431,L. Gregory,31,Stoke City,68,68,188,England,ST,67,66,54,66,28,76
7432,W. Dammers,25,FC Groningen,69,72,185,Netherlands,CB,66,59,49,61,68,73
7433,Nuha,27,Granada CF,67,68,193,Gambia,ST,76,67,53,63,27,69
7434,J. Sambia,23,Montpellier HSC,68,75,185,France,RM,75,68,71,71,63,68
7435,A. Batisse,25,Pau FC,65,72,185,France,CB,54,44,62,60,63,74
7436,Munir,31,Hatayspor,72,72,190,Morocco,GK,70,72,66,72,45,73
7437,Mata,31,Getafe CF,79,79,185,Spain,ST,69,80,61,76,31,76
7438,J. Iglesias,31,Clermont Foot 63,70,70,170,Uruguay,CDM,63,60,68,70,65,68
7439,J. Correa,27,Club Atlas,70,70,188,Argentina,ST,64,70,50,71,29,76
7440,J. StraußB,24,FC Erzgebirge Aue,66,73,178,Philippines,RM,75,52,62,67,57,62
7441,S. Prevljak,25,KAS Eupen,71,75,188,Bosnia Herzegovina,ST,68,72,61,70,23,72
7442,R. Aguilar B,27,AS Monaco,78,79,173,France,RB,80,53,70,76,74,72
7443,F. Bredlow,25,VfB Stuttgart,69,73,190,Germany,GK,71,68,62,71,38,64
7444,Luis Ruiz,28,CD Lugo,67,67,180,Spain,LB,72,34,54,62,64,68
7445,Eraso,30,CD Leganés,75,75,180,Spain,CM,50,71,72,69,58,73
7446,David Concha,22,Real Sociedad,64,71,178,Spain,CAM,62,62,63,67,33,51
7447,C. Chimino,32,Patronato,72,72,178,Argentina,RB,77,46,57,64,68,72
7448,O. Al Soma,31,Al Ahli,77,77,190,Syria,ST,69,79,69,72,39,80
7449,L. Paqarada,25,FC St. Pauli,71,75,183,Kosovo,LWB,76,45,68,69,66,67
7450,A. Polo,25,Portland Timbers,67,68,173,Peru,RM,90,57,62,66,57,60
7451,T. Baumgartl,24,PSV,74,79,190,Germany,CB,69,34,55,50,75,77
