"","Fussballer.Name","Fussballer.Age","Fussballer.Club","Fussballer.Overall","Fussballer.Potential","Height"
"7777","C. Grindheim",34,"FK Haugesund",67,67,177.8
"7778","M. Álvarez",26,"VfL Osnabrück",67,68,177.8
"7779","D. Malone",29,"ADO Den Haag",67,67,185.42
"7780","A. Gasbarro",23,"Livorno",67,72,182.88
"7781","S. May",25,"Aberdeen",67,70,177.8
"7782","Miguel Flaño",33,"CA Osasuna",67,67,177.8
"7783","B. Thompson",22,"Portsmouth",67,74,170.18
"7784","Paulo Henrique",20,"Portimonense SC",67,74,170.18
"7785","Marcelo Djaló",24,"Extremadura UD",67,72,193.04
"7786","A. Seydel",22,"Holstein Kiel",67,76,198.12
"7787","A. Al Fraidi",30,"Al Nassr",67,67,175.26
"7788","J. Wójcicki",29,"Jagiellonia Białystok",67,67,190.5
"7789","C. Hountondji",24,"New York City FC",67,72,195.58
"7790","I. Mhirsi",24,"Red Star FC",67,73,177.8
"7791","Ji Xiang",28,"Jiangsu Suning FC",67,67,185.42
"7792","J. Young",32,"Brisbane Roar",67,67,180.34
"7793","Welliton Helmes",30,"Internacional",67,67,172.72
"7794","E. Grezda",23,"Rangers FC",67,74,182.88
"7795","S. Mielitz",28,"SønderjyskE",67,68,187.96
"7796","P. Riese",28,"FC Erzgebirge Aue",67,67,175.26
"7797","N. Körber",21,"VfL Osnabrück",67,79,185.42
"7798","A. Rodriguez",25,"Unión La Calera",67,67,175.26
"7799","A. Calisir",28,"IFK Göteborg",67,69,180.34
"7800","R. Torres",26,"Alianza Petrolera",67,68,170.18
"7801","R. McKenzie",24,"Kilmarnock",67,70,175.26
"7802","D. Iorfa",23,"Wolverhampton Wanderers",67,71,193.04
"7803","L. Rosseti",23,"Ascoli",67,74,182.88
"7804","Dani Ojeda",23,"CD Leganés",67,72,180.34
"7805","M. Preston",23,"Mansfield Town",67,70,182.88
"7806","Josan",28,"Elche CF",67,67,175.26
"7807","P. Dahlberg",19,"Watford",67,80,195.58
"7808","Kim Ho Jun",34,"Gangwon FC",67,67,190.5
"7809","A. Calello",31,"Club Atlético Banfield",67,67,177.8
"7810","J. Sims",21,"Reading",67,77,167.64
"7811","B. Borrello",22,"SC Freiburg",67,73,177.8
"7812","T. Andreu",30,"Coventry City",67,67,177.8
"7813","J. Hendry",23,"Celtic",67,74,193.04
"7814","O. Albornoz",22,"Deportes Tolima",67,76,182.88
"7815","M. Thiam",23,"Barnsley",67,76,180.34
"7816","B. Djimsiti",25,"Atalanta",67,74,190.5
"7817","Y. Regäsel",22,"MSV Duisburg",67,74,175.26
"7818","Jo Young Cheol",29,"Gyeongnam FC",67,67,180.34
"7819","L. Kassi",23,"Stabæk Fotball",67,71,177.8
"7820","A. Mowatt",23,"Barnsley",67,75,175.26
"7821","H. Rivera",24,"Alianza Petrolera",67,70,175.26
"7822","André Claro",27,"Boavista FC",67,67,182.88
"7823","Felipe Saad",34,"FC Lorient",67,67,187.96
"7824","Asdrúbal",27,"AD Alcorcón",67,68,172.72
"7825","S. Nieuwpoort",25,"De Graafschap",67,70,180.34
"7826","Clemente",34,"Santa Clara",67,67,182.88
"7827","Luan Peres",23,"Club Brugge KV",67,72,190.5
"7828","A. Lioi",21,"Rosario Central",67,79,175.26
"7829","M. López",27,"Cádiz CF",67,70,187.96
"7830","E. Vega",28,"",67,68,167.64
"7831","A. Messaoud",27,"Excelsior",67,67,185.42
"7832","L. Silva",29,"Real Salt Lake",67,67,182.88
"7833","J. Højbjerg",23,"Esbjerg fB",67,76,193.04
"7834","J. Delgado",25,"CD Tondela",67,69,177.8
"7835","M. Schwäbe",23,"Brøndby IF",67,73,187.96
"7836","Kwon Kyung Won",26,"Tianjin Quanjian FC",67,71,187.96
"7837","M. Zetterer",22,"SV Werder Bremen",67,75,187.96
"7838","Fred Soidares",34,"Paraná",67,67,190.5
"7839","L. Menalo",21,"Dinamo Zagreb",67,75,180.34
"7840","Juan Muñiz",26,"CD Lugo",67,68,177.8
"7841","Kike Márquez",28,"Extremadura UD",67,67,175.26
"7842","P. Netzer",32,"SCR Altach",67,67,187.96
"7843","S. Skarlatidis",27,"FC Würzburger Kickers",67,67,175.26
"7844","L. Owona",27,"UD Almería",67,69,187.96
"7845","J. Samuelsen",33,"Odds BK",67,67,172.72
"7846","J. Cummings",22,"Peterborough United",67,75,177.8
"7847","R. Preißinger",21,"1. FC Magdeburg",67,75,185.42
"7848","S. Pettinari",26,"Lecce",67,68,185.42
"7849","N. Dams",28,"SV Wehen Wiesbaden",67,67,182.88
"7850","B. Edomwonyi",23,"FK Austria Wien",67,74,182.88
"7851","R. Naranjo",38,"Deportes Iquique",67,67,193.04
"7852","J. Tinhan",29,"ESTAC Troyes",67,67,177.8
"7853","H. Mizumoto",32,"Sanfrecce Hiroshima",67,67,182.88
"7854","A. Brosque",34,"Sydney FC",67,67,182.88
"7855","S. Becker",23,"ADO Den Haag",67,73,180.34
"7856","Yu Rui",25,"Changchun Yatai FC",67,71,185.42
"7857","P. Senderos",33,"Houston Dynamo",67,67,187.96
"7858","F. Rodríguez",31,"Rionegro Águilas",67,67,185.42
"7859","H. Sato",36,"Nagoya Grampus",67,67,170.18
"7860","R. Matthews",24,"Bolton Wanderers",67,75,182.88
"7861","T. Bishop",21,"Ipswich Town",67,77,177.8
"7862","Lluis López",21,"RCD Espanyol",67,77,182.88
"7863","S. McLaughlin",28,"Southend United",67,67,175.26
"7864","E. Aguilar",26,"Incheon United FC",67,68,175.26
"7865","M. Asselah",31,"Al Hazem",67,67,193.04
"7866","A. Dembélé",30,"AC Ajaccio",67,67,167.64
"7867","Breno Laranjeiro",30,"Ceará Sporting Club",67,67,180.34
"7868","J. Nietfeld",24," SSV Jahn Regensburg",67,73,185.42
"7869","A. Šemper",20,"Chievo Verona",67,80,193.04
"7870","T. Hájek",26,"Viktoria Plzeň",67,69,187.96
"7871","Dani Rodríguez",30,"RCD Mallorca",67,67,177.8
"7872","M. Deplagne",26,"ESTAC Troyes",67,68,182.88
"7873","G. Díaz",28,"Defensa y Justicia",67,67,170.18
"7874","C. Brunner",24,"DSC Arminia Bielefeld",67,73,180.34
"7875","P. Lipski",24,"Lechia Gdańsk",67,73,185.42
"7876","André Ferreira",22,"CD Aves",67,75,190.5
"7877","A. Ribera",22,"",67,72,175.26
"7878","Assis",28,"Boavista FC",67,67,187.96
"7879","G. Hernández",25,"Club Necaxa",67,72,172.72
"7880","J. Pineda",29,"CD Universidad de Concepción",67,67,177.8
"7881","M. Donoso",31,"Club Deportes Temuco",67,67,185.42
"7882","L. Zander",22,"FC St. Pauli",67,74,182.88
"7883","Curro Sánchez",22,"Sevilla FC",67,74,175.26
"7884","Santamaría",33,"SD Huesca",67,67,182.88
"7885","Z. Dedič",33,"FC Wacker Innsbruck",67,67,182.88
"7886","C. Vargas",28,"Atlético Nacional",67,69,182.88
"7887","Akieme",20,"Rayo Vallecano",67,72,175.26
"7888","Tete Morente",21,"Gimnàstic de Tarragona",67,79,182.88
"7889","Shin Hyung Min",31,"Jeonbuk Hyundai Motors",67,67,182.88
"7890","N. Yennaris",25,"Brentford",67,70,170.18
"7891","P. van Ooijen",26,"VVV-Venlo",67,69,177.8
"7892","G. Cvijanović",31,"Arka Gdynia",67,67,177.8
"7893","T. Taguchi",27,"Júbilo Iwata",67,68,175.26
"7894","M. Saunier",28,"FC Lorient",67,67,182.88
"7895","L. Parunashvili",25,"Esbjerg fB",67,72,180.34
"7896","R. Acquafresca",30,"FC Sion",67,67,182.88
"7897","C. Tabó",24,"Puebla FC",67,69,175.26
"7898","Claytisco Branco",34,"Santos",67,67,182.88
"7899","S. Nijland",29,"De Graafschap",67,67,187.96
"7900","J. Guthrie",25,"Walsall",67,68,193.04
"7901","J. Fernández",23,"CD Palestino",67,75,177.8
"7902","R. Crivello",26,"Spezia",67,67,180.34
"7903","T. Ayasse",31,"Stade Brestois 29",67,67,182.88
"7904","D. Zúñiga",21,"CD Everton de Viña del Mar",67,78,170.18
"7905","L. Załuska",36,"Pogoń Szczecin",67,67,190.5
"7906","R. Vasilev",27,"",67,67,185.42
"7907","M. Schmerböck",24,"Wolfsberger AC",67,73,180.34
"7908","Y. Abe",36,"Urawa Red Diamonds",67,67,177.8
"7909","J. Ruiz",20,"FC Sochaux-Montbéliard",67,79,187.96
"7910","M. Bravo",31,"San Martín de San Juan",67,67,167.64
"7911","Augusto",30,"Śląsk Wrocław",67,67,180.34
"7912","A. Maxsø",24,"FC Zürich",67,73,193.04
"7913","D. Vergara",21,"Envigado FC",67,78,172.72
"7914","Park Dong Jin",23,"FC Seoul",67,73,182.88
"7915","A. Maksimenko",20,"Spartak Moscow",67,80,187.96
"7916","M. Vrushaj",19,"Olympiacos CFP",67,80,177.8
"7917","L. Garbutt",25,"Oxford United",67,71,177.8
"7918","G. Munari",35,"Parma",67,67,190.5
"7919","C. Burke",26,"Philadelphia Union",67,68,190.5
"7920","Rudy",29,"Waterford FC",67,67,187.96
"7921","S. Knežević",21,"FC Luzern",67,79,187.96
"7922","M. Heider",32,"VfL Osnabrück",67,67,187.96
"7923","L. Gutiérrez",33,"",67,67,180.34
"7924","J. Alnwick",25,"Scunthorpe United",67,72,187.96
"7925","S. O'Donnell",26,"Kilmarnock",67,70,182.88
"7926","S. Edera",21,"Torino",67,77,175.26
"7927","A. Arellano",23,"Querétaro",67,73,175.26
"7928","G. Hupperts",26,"Sporting Lokeren",67,68,175.26
"7929","L. Isgrove",25,"Barnsley",67,70,177.8
"7930","M. Lampson",28,"Minnesota United FC",67,69,190.5
"7931","R. Di Gennaro",24,"Inter",67,70,187.96
"7932","Melvin Regalito",26,"Atlético Paranaense",67,67,182.88
"7933","L. Akins",29,"Burton Albion",67,67,177.8
"7934","J. Valencia",26,"CD Feirense",67,69,187.96
"7935","L. Ayçiçek",24,"SpVgg Greuther Fürth",67,72,170.18
"7936","E. Albín",29,"San Martin de Tucumán",67,67,175.26
"7937","M. Troiano",33,"Ascoli",67,67,187.96
"7938","F. Escobar",23,"New York Red Bulls",67,73,180.34
"7939","N. Linares",22,"Club Atlético Banfield",67,77,175.26
"7940","J. Ávila",26,"Junior FC",67,69,187.96
"7941","Nuno Valente",26,"Vitória de Setúbal",67,68,175.26
"7942","R. Baku",20,"1. FSV Mainz 05",67,82,175.26
"7943","Samu",22,"Boavista FC",67,73,170.18
"7944","D. Vicencio",25,"San Luis de Quillota",67,71,177.8
"7945","C. Shields",27,"Dundalk",67,69,185.42
"7946","Choi Sung Keun",26,"Suwon Samsung Bluewings",67,68,180.34
"7947","O. Sow",28,"Milton Keynes Dons",67,67,193.04
"7948","L. Orejuela",22,"Ajax",67,73,180.34
"7949","S. Leuko",24,"CD Lugo",67,72,175.26
"7950","D. Goutas",24,"Lech Poznań",67,72,187.96
"7951","Wilsson Rosito",34,"Paraná",67,67,180.34
"7952","D. Rigo",19,"PSV",67,80,180.34
"7953","A. Bastoni",19,"Parma",67,87,190.5
"7954","S. Eastwood",29,"Oxford United",67,69,187.96
"7955","T. Boyd",27,"SV Darmstadt 98",67,67,187.96
"7956","F. Nájera",34,"La Equidad",67,67,185.42
"7957","Jairo",24,"Cádiz CF",67,70,165.1
"7958","D. Milinković",24,"Hull City",67,73,177.8
"7959","F. Ayé",21,"Clermont Foot 63",67,74,182.88
"7960","J. Vachoux",23,"Racing Club de Lens",67,75,182.88
"7961","N. Bajrami",19,"Grasshopper Club Zürich",67,82,177.8
"7962","P. Mandanda",28,"Sporting de Charleroi",67,68,182.88
"7963","M. Đurić",28,"US Salernitana 1919",67,67,198.12
"7964","Éverton Luiz",30,"SPAL",67,67,172.72
"7965","Puertas",26,"Granada CF",67,68,182.88
"7966","J. Duverne",20,"Racing Club de Lens",67,77,182.88
"7967","G. Dicker",31,"Kilmarnock",67,67,182.88
"7968","G. Massey",25,"Wigan Athletic",67,68,180.34
"7969","N. Stefanelli",24,"AIK",67,74,165.1
"7970","J. Andrada",23,"Godoy Cruz",67,75,182.88
"7971","R. Zhemaletdinov",21,"Lokomotiv Moscow",67,77,182.88
"7972","L. Sercombe",28,"Bristol Rovers",67,67,177.8
"7973","D. De Belder",26,"KSV Cercle Brugge",67,69,182.88
"7974","J. Kubicki",22,"Lechia Gdańsk",67,73,177.8
"7975","J. Rasmussen",21,"Empoli",67,78,190.5
"7976","Y. Ramadani",22,"Vejle Boldklub",67,74,185.42
"7977","E. Akichi",28,"Paris FC",67,68,177.8
"7978","C. Chiricò",26,"Lecce",67,67,170.18
"7979","H. Sacko",24,"UD Las Palmas",67,71,182.88
"7980","Chris Farminhão",34,"Grêmio",67,67,187.96
"7981","D. Keita-Ruel",28,"SpVgg Greuther Fürth",67,67,185.42
"7982","P. Zulu",25,"Kaizer Chiefs",67,68,177.8
"7983","H. Bahebri",25,"Al Shabab",67,68,170.18
"7984","C. Arias",30,"Alianza Petrolera",67,67,175.26
"7985","Jeong Woo Jae",26,"Daegu FC",67,68,177.8
"7986","W. Dammers",23,"Fortuna Sittard",67,70,185.42
"7987","K. Kotsaris",21,"Panathinaikos FC",67,77,185.42
"7988","M. Poletanović",24,"Jagiellonia Białystok",67,73,187.96
"7989","J. Hopcutt",26,"Östersunds FK",67,70,180.34
"7990","P. Małecki",29,"Wisła Kraków",67,67,170.18
"7991","B. Mitrev",31,"",67,67,182.88
"7992","Qin Sheng",31,"Dalian YiFang FC",67,67,182.88
"7993","Marco Soares",34,"CD Feirense",67,67,182.88
"7994","Romário",32,"Kalmar FF",67,67,172.72
"7995","Pedro Trigueira",30,"Moreirense FC",67,68,193.04
"7996","A. Hrustić",21,"FC Groningen",67,75,177.8
"7997","U. Segura",25,"DC United",67,70,182.88
"7998","J. Billong",24,"Benevento",67,71,193.04
"7999","L. Arias",33,"Deportivo Pasto",67,67,167.64
"8000","K. Arkivuo",35,"BK Häcken",67,67,175.26
"8001","S. Palombi",22,"Lecce",67,76,182.88
"8002","G. Maggiore",20,"Spezia",67,83,182.88
"8003","M. Konrad",30,"KFC Uerdingen 05",67,67,187.96
"8004","Zheng Long",30,"Guangzhou Evergrande Taobao FC",67,67,177.8
"8005","A. Lazaar",26,"Newcastle United",67,68,182.88
"8006","J. Donachie",25,"Jeonnam Dragons",67,69,195.58
"8007","J. Bizama",24,"CD Huachipato",67,74,177.8
"8008","A. Rossi",21,"Lazio",67,77,182.88
"8009","Nolaskoain",19,"Athletic Club de Bilbao",67,78,185.42
"8010","H. Singh",27,"Sarpsborg 08 FF",67,67,180.34
"8011","João Carlos",23,"Portimonense SC",67,71,187.96
"8012","J. Nation",28,"Vålerenga Fotball",67,68,187.96
"8013","S. Kulovits",35,"SV Sandhausen",67,67,177.8
"8014","T. Grøgaard",24,"SK Brann",67,74,180.34
"8015","R. Williams",24,"Rotherham United",67,70,172.72
"8016","F. Miguel",21,"Nîmes Olympique",67,76,177.8
"8017","M. Bukata",24,"Benevento",67,70,175.26
"8018","K. Broll",22,"SG Sonnenhof Großaspach",67,74,185.42
"8019","M. Jiménez",28,"Guadalajara",67,69,182.88
"8020","K. Nagai",29,"FC Tokyo",67,67,177.8
"8021","C. Philipps",24,"Legia Warszawa",67,73,182.88
"8022","M. Sadler",33,"Shrewsbury",67,67,182.88
"8023","F. Centonze",22,"Racing Club de Lens",67,75,182.88
"8024","J. Ligali",27,"Montpellier HSC",67,71,182.88
"8025","A. Sánchez",31,"Atlético Tucumán",67,67,187.96
"8026","A. Nalini",28,"Crotone",67,67,180.34
"8027","Zheng Zheng",28,"Shandong Luneng TaiShan FC",67,67,185.42
"8028","Héctor Rodas",30,"AD Alcorcón",67,67,190.5
"8029","D. Høegh",27,"SC Heerenveen",67,68,190.5
"8030","C. Martschinko",24,"FK Austria Wien",67,72,175.26
"8031","F. Micolta",28,"Puebla FC",67,67,177.8
"8032","J. Piotrowski",20,"KRC Genk",67,77,187.96
"8033","M. Carretta",27,"US Cremonese",67,67,177.8
"8034","J. Skalák",26,"Millwall",67,68,177.8
"8035","L. Lindsay",22,"Barnsley",67,77,193.04
"8036","V. Hoff",22,"Odds BK",67,75,180.34
"8037","M. Zaccagni",23,"Hellas Verona",67,75,177.8
"8038","R. Vera",35,"Patronato",67,67,182.88
"8039","J. Riedel",26,"FC Hansa Rostock",67,69,182.88
"8040","T. Yalçıner",31,"Alanyaspor",67,67,177.8
"8041","B. De Alba",25,"La Equidad",67,72,167.64
"8042","A. Nouri",28,"Vålerenga Fotball",67,67,180.34
"8043","C. Gartner",24,"MSV Duisburg",67,71,180.34
"8044","T. Geyer",27,"VfR Aalen",67,67,177.8
"8045","L. Domínguez",28,"CD Everton de Viña del Mar",67,68,187.96
"8046","Naldo",28,"Al Fayha",67,67,185.42
"8047","L. Kelly",19,"Bristol City",67,83,190.5
"8048","S. Whalley",30,"Shrewsbury",67,67,175.26
"8049","K. Anzai",23,"Kashima Antlers",67,74,172.72
"8050","C. Pontius",30,"LA Galaxy",67,67,182.88
"8051","E. Zavaleta",25,"Toronto FC",67,69,185.42
"8052","G. O'Neil",35,"Bolton Wanderers",67,67,172.72
"8053","G. Loovens",34,"Sunderland",67,67,190.5
"8054","A. González",30,"CD Palestino",67,67,182.88
"8055","Luís Cortez",24,"Vitória de Setúbal",67,70,175.26
"8056","M. Hernández",35,"Tiburones Rojos de Veracruz",67,67,182.88
"8057","C. Donaldson",34,"Bolton Wanderers",67,67,185.42
"8058","D. Mendiseca",22,"",67,67,182.88
"8059","S. Cronin",31,"Minnesota United FC",67,67,177.8
"8060","J. Taylor",25,"Rotherham United",67,68,167.64
"8061","R. Hall",24,"Oxford United",67,70,172.72
"8062","S. Gbohouo",29,"",67,68,190.5
"8063","N. Yeri",26,"Club Atlético Aldosivi",67,68,175.26
"8064","M. Pinato",23,"Venezia FC",67,75,175.26
"8065","M. Johnson",27,"Sheffield United",67,67,177.8
"8066","D. Wouters",21,"KRC Genk",67,76,190.5
"8067","J. Campuzano",22,"Atlético Nacional",67,80,177.8
"8068","Z. Valentin",26,"Portland Timbers",67,68,182.88
"8069","L. Néry",27,"AS Nancy Lorraine",67,68,175.26
"8070","J. Iglesias",29,"Clermont Foot 63",67,67,170.18
"8071","M. El Hamdaoui",33,"Excelsior",67,67,182.88
"8072","Welson Leima",34,"Botafogo",67,67,177.8
"8073","M. Little",29,"Bolton Wanderers",67,67,185.42
"8074","B. Lennon",20,"Real Salt Lake",67,78,177.8
"8075","N. Mitrović",25,"Jagiellonia Białystok",67,72,193.04
"8076","Serginho",35,"Santa Clara",67,67,190.5
"8077","R. Buess",25,"FC St. Gallen",67,70,182.88
"8078","A. Al Sahabi",31,"Al Faisaly",67,67,180.34
"8079","Y. El Jebli",25,"De Graafschap",67,69,177.8
"8080","C. Durkin",18,"DC United",67,84,182.88
"8081","P. Bengtsson",30,"FC København",67,67,175.26
"8082","F. Kamberi",23,"Hibernian",67,76,187.96
"8083","D. Irandust",20,"BK Häcken",67,77,185.42
"8084","L. Nomenjanahary",32,"Paris FC",67,67,177.8
"8085","D. Steres",27,"LA Galaxy",67,68,182.88
"8086","G. Donyoh",23,"FC Nordsjælland",67,73,177.8
"8087","Castro",23,"RCD Mallorca",67,73,175.26
"8088","F. Troyansky",21,"Unión de Santa Fe",67,80,177.8
"8089","D. Koppers",26,"PEC Zwolle",67,68,177.8
"8090","M. Moscati",25,"Perugia",67,70,180.34
"8091","J. Roa",23,"Jaguares de Córdoba",67,75,177.8
"8092","Lu Wenjun",29,"Shanghai SIPG FC",67,67,185.42
"8093","F. Crivelli",36,"Club Atlético Tigre",67,67,185.42
"8094","J. Amoroso",30,"Newell's Old Boys",67,67,185.42
"8095","A. Barillà",30,"Parma",67,67,180.34
"8096","K. Agard",28,"Milton Keynes Dons",67,67,175.26
"8097","Y. Boli",30,"Colorado Rapids",67,67,180.34
"8098","Borja Viguera",31,"CD Numancia",67,67,182.88
"8099","A. Masika",25,"Beijing Renhe FC",67,68,170.18
"8100","S. Kroon",25,"Östersunds FK",67,70,182.88
"8101","A. Al Hafith",25,"Al Hilal",67,72,185.42
"8102","J. Gradit",25,"Stade Malherbe Caen",67,70,180.34
"8103","L. Boeder",21,"SC Paderborn 07",67,74,182.88
"8104","T. Pochettino",22,"Club Atlético Talleres",67,75,177.8
"8105","A. Robic",32,"AS Nancy Lorraine",67,67,180.34
"8106","E. Nazaryna",20,"Royal Antwerp FC",67,76,182.88
"8107","J. Cascante",24,"Portland Timbers",67,72,187.96
"8108","A. Ibrahim",27,"Vålerenga Fotball",67,68,185.42
"8109","F. Ulvestad",26,"Djurgårdens IF",67,70,182.88
"8110","C. Çavlan",26,"FC Emmen",67,69,175.26
"8111","F. Ben Youssef",27,"Ettifaq FC",67,67,190.5
"8112","M. Pučko",24,"Korona Kielce",67,71,175.26
"8113","C. Gönen",30,"Málaga CF",67,67,190.5
"8114","S. Moore",28,"Sheffield United",67,67,190.5
"8115","L. Taylor",28,"Charlton Athletic",67,67,187.96
"8116","M. de Leeuw",31,"Chicago Fire",67,67,177.8
"8117","A. Ngamukol",30,"Stade de Reims",67,67,177.8
"8118","F. Brandán",28,"San Martín de San Juan",67,67,167.64
"8119","Zubiaurre",21,"Real Sociedad",67,75,187.96
"8120","S. Quinn",32,"Burton Albion",67,67,167.64
"8121","S. Bertram",27,"FC Erzgebirge Aue",67,67,185.42
"8122","Z. Korcsmár",29,"FC Midtjylland",67,67,187.96
"8123","Camacho",37,"SD Huesca",67,67,180.34
"8124","D. Sorgić",28,"FC Thun",67,67,177.8
"8125","P. Mortensen",28,"Sarpsborg 08 FF",67,67,187.96
"8126","Tekio",27,"Elche CF",67,67,175.26
"8127","P. Ofosu-Ayeh",26,"FC Hansa Rostock",67,68,180.34
"8128","M. Bíttolo",28,"Newell's Old Boys",67,67,175.26
"8129","B. Djiby Fall",33,"Hobro IK",67,67,187.96
"8130","D. Cardoso",29,"Kaizer Chiefs",67,67,182.88
"8131","J. Demetriou",30,"Southend United",67,67,180.34
"8132","Ilhamjan Iminjan",32,"Guizhou Hengfeng FC",67,67,175.26
"8133","M. Ritzmaier",25,"Wolfsberger AC",67,70,180.34
"8134","C. Dell'Orco",24,"Sassuolo",67,73,182.88
"8135","H. Shala",26,"IK Start",67,70,177.8
"8136","R. Williams",26,"",67,72,182.88
"8137","S. Molina",26,"Crotone",67,68,177.8
"8138","J. Ángulo",22,"Deportivo Cali",67,77,182.88
"8139","F. Guichón",27,"Independiente Santa Fe",67,67,182.88
"8140","G. Tormin",20,"KSV Cercle Brugge",67,78,175.26
"8141","R. Noya",28,"Tiburones Rojos de Veracruz",67,67,193.04
"8142","L. Clemenza",20,"Padova",67,76,175.26
"8143","Paik Seung Ho",21,"Girona FC",67,77,180.34
"8144","L. Wolsztyński",23,"Górnik Zabrze",67,73,182.88
"8145","P. Göbel",24,"FC Würzburger Kickers",67,69,170.18
"8146","A. Gouiri",18,"Olympique Lyonnais",67,86,182.88
"8147","S. Bruzzese",29,"KV Kortrijk",67,68,185.42
"8148","M. Njie",22,"Stabæk Fotball",67,75,185.42
"8149","S. Raggett",24,"Rotherham United",67,73,195.58
"8150","P. Klewin",24,"DSC Arminia Bielefeld",67,73,193.04
"8151","G. Ţucudean",27,"",67,68,187.96
"8152","J. Ward",32,"Charlton Athletic",67,67,165.1
"8153","S. Jovanović",26,"Córdoba CF",67,68,175.26
"8154","N. Schouterden",29,"KAS Eupen",67,67,175.26
"8155","S. Wannenwetsch",26,"FC Hansa Rostock",67,69,177.8
"8156","R. Oxford",19,"West Ham United",67,80,190.5
"8157","R. Gelmi",23,"FC Thun",67,77,187.96
"8158","Elgezabal",25,"AD Alcorcón",67,71,185.42
"8159","C. Schorch",29,"KFC Uerdingen 05",67,67,187.96
"8160","F. Migliore",30,"US Cremonese",67,67,172.72
"8161","M. Gilks",36,"Scunthorpe United",67,67,185.42
"8162","Renan Tojeiras",34,"Sport Club do Recife",67,67,177.8
"8163","G. Miura",23,"Gamba Osaka",67,76,182.88
"8164","Juande",31,"Perth Glory",67,67,182.88
"8165","H. Rojas",30,"Millonarios FC",67,67,177.8
"8166","Nuno Cedrim",26,"Vitória",67,67,180.34
"8167","F. Orlando",21,"US Salernitana 1919",67,79,167.64
"8168","I. Henderson",33,"Rochdale",67,67,177.8
"8169","L. Bostyn",24,"SV Zulte-Waregem",67,71,195.58
"8170","L. Abergel",25,"AS Nancy Lorraine",67,71,172.72
"8171","A. Zapata",23,"Envigado FC",67,74,175.26
"8172","M. Smith",26,"Rotherham United",67,68,193.04
"8173","N. Zimling",33,"SønderjyskE",67,67,177.8
"8174","J. Bager",21,"Randers FC",67,74,182.88
"8175","G. Masouras",21,"Olympiacos CFP",67,74,180.34
"8176","G. Bourillon",34,"La Berrichonne de Châteauroux",67,67,187.96
"8177","A. D'Alberto",23,"Moreirense FC",67,72,177.8
"8178","Lee Seok Hyun",28,"Pohang Steelers",67,67,177.8
"8179","W. Francis",27,"Seattle Sounders FC",67,67,175.26
"8180","B. Vătăjelu",25,"Sparta Praha",67,70,170.18
"8181","M. Bani",24,"Chievo Verona",67,72,187.96
"8182","N. Butzen",25,"1. FC Magdeburg",67,69,177.8
"8183","L. Ilić",18,"NAC Breda",67,79,182.88
"8184","E. Trejo",28,"Querétaro",67,67,170.18
"8185","T. Eaves",26,"Gillingham",67,68,193.04
"8186","D. Del Fabro",23,"US Cremonese",67,72,187.96
"8187","Pol García",23,"Sint-Truidense VV",67,73,182.88
"8188","F. Escobar",23,"Atlanta United",67,74,182.88
"8189","D. Agazzi",25,"Livorno",67,70,172.72
"8190","C. Cambon",31,"US Orléans Loiret Football",67,67,182.88
"8191","A. Tembeng",26,"CD Tondela",67,70,187.96
"8192","A. Gomes",17,"Manchester United",67,87,160.02
"8193","Estevãtinho",26,"Fluminense",67,67,177.8
"8194","S. Lex",28,"TSV 1860 München",67,67,177.8
"8195","Bernabé",25,"Gimnàstic de Tarragona",67,73,187.96
"8196","K. Matsubara",25,"Yokohama F. Marinos",67,72,180.34
"8197","E. Purita",21,"San Martin de Tucumán",67,81,167.64
"8198","S. Guri",24,"KV Oostende",67,71,187.96
"8199","C. Albanis",23,"AEK Athens",67,73,182.88
"8200","F. Holthaus",23,"FC Energie Cottbus",67,75,180.34
"8201","L. da Silva Lopes",19,"Wigan Athletic",67,79,167.64
"8202","S. MacDonald",30,"Wigan Athletic",67,67,185.42
"8203","M. Reynolds",31,"Aberdeen",67,67,180.34
"8204","M. Janota",27,"Arka Gdynia",67,67,170.18
"8205","Piao Cheng",28,"Beijing Sinobo Guoan FC",67,67,175.26
"8206","M. McNulty",25,"Reading",67,69,177.8
"8207","Alan Schons",25,"Moreirense FC",67,70,180.34
"8208","L. Heredia",21,"Club Atlético Colón",67,75,185.42
"8209","T. Elliott",27,"Millwall",67,67,193.04
"8210","R. Lundström",28,"AIK",67,67,182.88
"8211","S. Ganz",24,"Ascoli",67,72,175.26
"8212","A. El Kaabi",25,"Hebei China Fortune FC",67,71,182.88
"8213","P. Testroet",27,"FC Erzgebirge Aue",67,67,185.42
"8214","S. Benyamina",28,"Pogoń Szczecin",67,67,190.5
"8215","C. Sepúlveda",26,"CD Huachipato",67,72,175.26
"8216","E. Assifuah",24,"Le Havre AC",67,70,172.72
"8217","L. Robles",31,"Puebla FC",67,67,170.18
"8218","V. N'Simba",24,"Clermont Foot 63",67,70,167.64
"8219","C. Handke",29,"1. FC Magdeburg",67,67,190.5
"8220","S. Córdova",20,"FC Augsburg",67,78,187.96
"8221","K. Kratz",31,"Atlanta United",67,67,172.72
"8222","M. Lowe",21,"Aberdeen",67,77,175.26
"8223","Claude Gonçalves",24,"ESTAC Troyes",67,71,175.26
"8224","D. Swanson",31,"St. Johnstone FC",67,67,167.64
"8225","G. Trauner",26,"LASK Linz",67,72,182.88
